time_step,entropy,complexity
0,0.02077829,0.00399202
1,0.05282677,0.00399202
2,0.05282677,0.00798403
3,0.09362546,0.00798403
4,0.06711048,0.01197605
5,0.12985150,0.01197605
6,0.08066078,0.01596806
7,0.16308939,0.01197605
8,0.10610213,0.01596806
9,0.16308939,0.01996008
10,0.15228688,0.02395210
11,0.18397450,0.02395210
12,0.16308939,0.02794411
13,0.23269218,0.02794411
14,0.17364576,0.03193613
15,0.25995043,0.02794411
16,0.19409147,0.02794411
17,0.23269218,0.03193613
18,0.24192600,0.03992016
19,0.27742651,0.03592814
20,0.25100980,0.03592814
21,0.26875410,0.04391218
22,0.26875410,0.05588822
23,0.31090168,0.04790419
24,0.29439795,0.04391218
25,0.30270619,0.04790419
26,0.29439795,0.05988024
27,0.35031211,0.06387226
28,0.32696933,0.05588822
29,0.35790251,0.05988024
30,0.33484833,0.06786427
31,0.39453756,0.05588822
32,0.29439795,0.05988024
33,0.39453756,0.06786427
34,0.31898821,0.07984032
35,0.44250373,0.07185629
36,0.34262829,0.07185629
37,0.42916579,0.07185629
38,0.38737876,0.08383234
39,0.43586992,0.08383234
40,0.44906861,0.06786427
41,0.40861678,0.07584830
42,0.43586992,0.08383234
43,0.46199679,0.07984032
44,0.38737876,0.09181637
45,0.49925334,0.08782435
46,0.41554077,0.09181637
47,0.47466434,0.08782435
48,0.42916579,0.09181637
49,0.48708039,0.08383234
50,0.42238991,0.10778443
51,0.52290058,0.11976048
52,0.48090326,0.10379242
53,0.52867198,0.10778443
54,0.46199679,0.11576846
55,0.55672613,0.11576846
56,0.51119099,0.11177645
57,0.52867198,0.11177645
58,0.50525112,0.13173653
59,0.57824845,0.12375250
60,0.53438885,0.11976048
61,0.58350651,0.12375250
62,0.52290058,0.14371257
63,0.62389487,0.12774451
64,0.55121989,0.11177645
65,0.50525112,0.11576846
66,0.55672613,0.13173653
67,0.57824845,0.13173653
68,0.57824845,0.13173653
69,0.56758653,0.13972056
70,0.61900445,0.15169661
71,0.62389487,0.12375250
72,0.59899601,0.11177645
73,0.57294199,0.14770459
74,0.64769995,0.15169661
75,0.62389487,0.15968064
76,0.62389487,0.17165669
77,0.66599277,0.16766467
78,0.63354499,0.17564870
79,0.66148058,0.16766467
80,0.67046491,0.13972056
81,0.62874157,0.15568862
82,0.63830558,0.17564870
83,0.69647609,0.18762475
84,0.63830558,0.18762475
85,0.72511023,0.16766467
86,0.62389487,0.18363273
87,0.67046491,0.16367265
88,0.68364453,0.14371257
89,0.66148058,0.15968064
90,0.66148058,0.20359281
91,0.77017097,0.17964072
92,0.62874157,0.17165669
93,0.72511023,0.17564870
94,0.67929044,0.19161677
95,0.75199343,0.19161677
96,0.69647609,0.18762475
97,0.70896822,0.18762475
98,0.71711173,0.23153693
99,0.75936487,0.22754491
100,0.73296589,0.21556886
101,0.73684080,0.22754491
102,0.73296589,0.22754491
103,0.79090007,0.18762475
104,0.70067744,0.17964072
105,0.68364453,0.19161677
106,0.72905579,0.21556886
107,0.75936487,0.21157685
108,0.76300016,0.21556886
109,0.77370692,0.21956088
110,0.76300016,0.23552894
111,0.79755385,0.22754491
112,0.77721016,0.20359281
113,0.75569603,0.22355289
114,0.79424274,0.24351297
115,0.83488762,0.22754491
116,0.77017097,0.21956088
117,0.79755385,0.23552894
118,0.80408212,0.26347305
119,0.81364221,0.25548902
120,0.80083359,0.23952096
121,0.78752567,0.24351297
122,0.80408212,0.28343313
123,0.84637609,0.25548902
124,0.80083359,0.25149701
125,0.81048627,0.25948104
126,0.82292748,0.24750499
127,0.83194216,0.23153693
128,0.83194216,0.23552894
129,0.81048627,0.23552894
130,0.79755385,0.25548902
131,0.86537187,0.24750499
132,0.80729962,0.25149701
133,0.84637609,0.24351297
134,0.82896709,0.27145709
135,0.87560651,0.26746507
136,0.84637609,0.25149701
137,0.82896709,0.26746507
138,0.84069025,0.27944112
139,0.86537187,0.26746507
140,0.84069025,0.26347305
141,0.88055770,0.28742515
142,0.86537187,0.31936128
143,0.90368552,0.28742515
144,0.84354770,0.27145709
145,0.89013206,0.28742515
146,0.85468818,0.31936128
147,0.92027892,0.29940120
148,0.85740161,0.29141717
149,0.89245791,0.29940120
150,0.87809586,0.31536926
151,0.89702900,0.31536926
152,0.89245791,0.30738523
153,0.91010404,0.29141717
154,0.85740161,0.31536926
155,0.93344260,0.29540918
156,0.86008663,0.30339321
157,0.92027892,0.29940120
158,0.87809586,0.33133733
159,0.91010404,0.31137725
160,0.90368552,0.31936128
161,0.91219106,0.33532934
162,0.89927443,0.34730539
163,0.94697049,0.33133733
164,0.89245791,0.34730539
165,0.93344260,0.33133733
166,0.91425198,0.35528942
167,0.93697501,0.33932136
168,0.92980903,0.33532934
169,0.92027892,0.32734531
170,0.90799083,0.37125749
171,0.96429535,0.34331337
172,0.92027892,0.34730539
173,0.94697049,0.35129741
174,0.92416781,0.37524950
175,0.96558079,0.33932136
176,0.93344260,0.34331337
177,0.92795414,0.36327345
178,0.92980903,0.39121756
179,0.97711471,0.37125749
180,0.91425198,0.36726547
181,0.96807931,0.35129741
182,0.92416781,0.37125749
183,0.95010335,0.36327345
184,0.94373846,0.36726547
185,0.95163273,0.38722555
186,0.95313749,0.40718563
187,0.98289302,0.39121756
188,0.92416781,0.38323353
189,0.96558079,0.38722555
190,0.95313749,0.42714571
191,0.96929248,0.37924152
192,0.97164684,0.34331337
193,0.91219106,0.37524950
194,0.94854928,0.41516966
195,0.98463042,0.39920160
196,0.95461769,0.39920160
197,0.97499903,0.39121756
198,0.96558079,0.43113772
199,0.98106144,0.39121756
200,0.97499903,0.36327345
201,0.96429535,0.39121756
202,0.95750457,0.43912176
203,0.98782355,0.43912176
204,0.98463042,0.41117764
205,0.96429535,0.40718563
206,0.97913542,0.41916168
207,0.98377348,0.41117764
208,0.98198902,0.40718563
209,0.97278811,0.43113772
210,0.98627386,0.45508982
211,0.98782355,0.45109780
212,0.99128896,0.44311377
213,0.97813691,0.42714571
214,0.98856331,0.44710579
215,0.98463042,0.44710579
216,0.99191214,0.41916168
217,0.98377348,0.42714571
218,0.97390550,0.48303393
219,0.99790392,0.48303393
220,0.99364225,0.45508982
221,0.98927970,0.45508982
222,0.99064251,0.47504990
223,0.99364225,0.46307385
224,0.99417254,0.45109780
225,0.99562440,0.45109780
226,0.97813691,0.50299401
227,0.99999713,0.50698603
228,0.99251207,0.51497006
229,0.99999713,0.46307385
230,0.99064251,0.47504990
231,0.99562440,0.47504990
232,0.99999713,0.45508982
233,0.98782355,0.46706587
234,0.99364225,0.49900200
235,0.99985918,0.50299401
236,0.99992815,0.48303393
237,0.99364225,0.47904192
238,0.99820308,0.47904192
239,0.99820308,0.49900200
240,0.99985918,0.49101796
241,0.99847918,0.46706587
242,0.99467965,0.51896208
243,0.99935328,0.51896208
244,0.99873225,0.51497006
245,0.99896228,0.50698603
246,0.99976720,0.50698603
247,0.99997413,0.50299401
248,0.99999713,0.49500998
249,0.99992815,0.47504990
250,0.99847918,0.51097804
