time_step,entropy,complexity
0,0.01139780,0.00199800
1,0.02943895,0.00199800
2,0.02943895,0.00399600
3,0.05287089,0.00399600
4,0.03759055,0.00599401
5,0.07402739,0.00599401
6,0.04537654,0.00799201
7,0.09370162,0.00599401
8,0.06012245,0.00799201
9,0.09370162,0.00999001
10,0.08728059,0.01198801
11,0.10618784,0.01198801
12,0.09370162,0.01398601
13,0.13568039,0.01398601
14,0.10000094,0.01598402
15,0.15240700,0.01398601
16,0.11227023,0.01398601
17,0.13568039,0.01598402
18,0.14132835,0.01998002
19,0.16321736,0.01798202
20,0.14690274,0.01798202
21,0.15784426,0.02197802
22,0.15784426,0.02797203
23,0.18411743,0.02397602
24,0.17378132,0.02197802
25,0.17897681,0.02397602
26,0.17378132,0.02997003
27,0.20905981,0.03196803
28,0.19424154,0.02797203
29,0.21390704,0.02997003
30,0.19922846,0.03396603
31,0.23750814,0.02797203
32,0.17378132,0.02997003
33,0.23750814,0.03396603
34,0.18920508,0.03996004
35,0.26895482,0.03596404
36,0.20416740,0.03596404
37,0.26014536,0.03596404
38,0.23286889,0.04195804
39,0.26456686,0.04195804
40,0.27330993,0.03396603
41,0.24667221,0.03796204
42,0.26456686,0.04195804
43,0.28192427,0.03996004
44,0.23286889,0.04595405
45,0.30704289,0.04395604
46,0.25119882,0.04595405
47,0.29041486,0.04395604
48,0.26014536,0.04595405
49,0.29878631,0.04195804
50,0.25568960,0.05394605
51,0.32322690,0.05994006
52,0.29461521,0.05194805
53,0.32720693,0.05394605
54,0.28192427,0.05794206
55,0.34673147,0.05794206
56,0.31518853,0.05594406
57,0.32720693,0.05594406
58,0.31112934,0.06593407
59,0.36192189,0.06193806
60,0.33116142,0.05994006
61,0.36566263,0.06193806
62,0.32322690,0.07192807
63,0.39481485,0.06393606
64,0.34287540,0.05594406
65,0.31112934,0.05794206
66,0.34673147,0.06593407
67,0.36192189,0.06593407
68,0.36192189,0.06593407
69,0.35437279,0.06993007
70,0.39124356,0.07592408
71,0.39481485,0.06193806
72,0.37675318,0.05594406
73,0.35815871,0.07392607
74,0.41237522,0.07592408
75,0.39481485,0.07992008
76,0.39481485,0.08591409
77,0.42608130,0.08391608
78,0.40189752,0.08791209
79,0.42268247,0.08391608
80,0.42946197,0.06993007
81,0.39836609,0.07792208
82,0.40540938,0.08791209
83,0.44937518,0.09390609
84,0.40540938,0.09390609
85,0.47183921,0.08391608
86,0.39481485,0.09190809
87,0.42946197,0.08191808
88,0.43949699,0.07192807
89,0.42268247,0.07992008
90,0.42268247,0.10189810
91,0.50856341,0.08991009
92,0.39836609,0.08591409
93,0.47183921,0.08791209
94,0.43616964,0.09590410
95,0.49352500,0.09590410
96,0.44937518,0.09390609
97,0.45910106,0.09390609
98,0.46550245,0.11588412
99,0.49958441,0.11388611
100,0.47811249,0.10789211
101,0.48122566,0.11388611
102,0.47811249,0.11388611
103,0.52613610,0.09390609
104,0.45263385,0.08991009
105,0.43949699,0.09590410
106,0.47498372,0.10789211
107,0.49958441,0.10589411
108,0.50259197,0.10789211
109,0.51152750,0.10989011
110,0.50259197,0.11788212
111,0.53188260,0.11388611
112,0.51447733,0.10189810
113,0.49656212,0.11188811
114,0.52901618,0.12187812
115,0.56524920,0.11388611
116,0.50856341,0.10989011
117,0.53188260,0.11788212
118,0.53757491,0.13186813
119,0.54601340,0.12787213
120,0.53473548,0.11988012
121,0.52324228,0.12187812
122,0.53757491,0.14185814
123,0.57596432,0.12787213
124,0.53473548,0.12587413
125,0.54321377,0.12987013
126,0.55433410,0.12387612
127,0.56253938,0.11588412
128,0.56253938,0.11788212
129,0.54321377,0.11788212
130,0.53188260,0.12787213
131,0.59424929,0.12387612
132,0.54040097,0.12587413
133,0.57596432,0.12187812
134,0.55981697,0.13586414
135,0.60443910,0.13386613
136,0.57596432,0.12587413
137,0.55981697,0.13386613
138,0.57063144,0.13986014
139,0.59424929,0.13386613
140,0.57063144,0.13186813
141,0.60946518,0.14385614
142,0.59424929,0.15984016
143,0.63392703,0.14385614
144,0.57330402,0.13586414
145,0.61938219,0.14385614
146,0.58387241,0.15984016
147,0.65272159,0.14985015
148,0.58648441,0.14585415
149,0.62183365,0.14985015
150,0.60695782,0.15784216
151,0.62670361,0.15784216
152,0.62183365,0.15384615
153,0.64105395,0.14585415
154,0.58648441,0.15784216
155,0.66862459,0.14785215
156,0.58908451,0.15184815
157,0.65272159,0.14985015
158,0.60695782,0.16583417
159,0.64105395,0.15584416
160,0.63392703,0.15984016
161,0.64340840,0.16783217
162,0.62912223,0.17382617
163,0.68620136,0.16583417
164,0.62183365,0.17382617
165,0.66862459,0.16583417
166,0.64575233,0.17782218
167,0.67307779,0.16983017
168,0.66413147,0.16783217
169,0.65272159,0.16383616
170,0.63868894,0.18581419
171,0.71141602,0.17182817
172,0.65272159,0.17382617
173,0.68620136,0.17582418
174,0.65731613,0.18781219
175,0.71345670,0.16983017
176,0.66862459,0.17182817
177,0.66186982,0.18181818
178,0.66413147,0.19580420
179,0.73336623,0.18581419
180,0.64575233,0.18381618
181,0.71751065,0.17582418
182,0.65731613,0.18581419
183,0.69049834,0.18181818
184,0.68186583,0.18381618
185,0.69263247,0.19380619
186,0.69475709,0.20379620
187,0.74488697,0.19580420
188,0.65731613,0.19180819
189,0.71345670,0.19380619
190,0.69475709,0.21378621
191,0.71952400,0.18981019
192,0.72352362,0.17182817
193,0.64340840,0.18781219
194,0.68835465,0.20779221
195,0.74865789,0.19980020
196,0.69687223,0.19980020
197,0.72945584,0.19580420
198,0.71345670,0.21578422
199,0.74108154,0.19580420
200,0.72945584,0.18181818
201,0.71141602,0.19580420
202,0.70107422,0.21978022
203,0.75609717,0.21978022
204,0.74865789,0.20579421
205,0.71141602,0.20379620
206,0.73724138,0.20979021
207,0.74677673,0.20579421
208,0.74298858,0.20379620
209,0.72550995,0.21578422
210,0.75239455,0.22777223
211,0.75609717,0.22577423
212,0.76520630,0.22177822
213,0.73530819,0.21378621
214,0.75793579,0.22377622
215,0.74865789,0.22377622
216,0.76700308,0.20979021
217,0.74677673,0.21378621
218,0.72748735,0.24175824
219,0.78961609,0.24175824
220,0.77234376,0.22777223
221,0.75976599,0.22777223
222,0.76340122,0.23776224
223,0.77234376,0.23176823
224,0.77410754,0.22577423
225,0.77934984,0.22577423
226,0.73530819,0.25174825
227,0.81088204,0.25374625
228,0.76879156,0.25774226
229,0.81246350,0.23176823
230,0.76340122,0.23776224
231,0.77934984,0.23776224
232,0.81246350,0.22777223
233,0.75609717,0.23376623
234,0.77234376,0.24975025
235,0.80609147,0.25174825
236,0.80769604,0.24175824
237,0.77234376,0.23976024
238,0.79129911,0.23976024
239,0.79129911,0.24975025
240,0.80609147,0.24575425
241,0.79297419,0.23376623
242,0.77586312,0.25974026
243,0.82332026,0.25974026
244,0.79464134,0.25774226
245,0.79630059,0.25374625
246,0.81871291,0.25374625
247,0.80929289,0.25174825
248,0.81088204,0.24775225
249,0.80769604,0.23776224
250,0.79297419,0.25774226
251,0.83380821,0.25774226
252,0.79630059,0.24175824
253,0.80929289,0.25574426
254,0.81403730,0.26973027
255,0.83963819,0.25774226
256,0.81560345,0.23976024
257,0.81088204,0.24575425
258,0.79297419,0.25974026
259,0.84955922,0.25774226
260,0.79959549,0.26973027
261,0.84250915,0.26773227
262,0.81716198,0.27972028
263,0.84393368,0.26773227
264,0.82935812,0.26573427
265,0.83084891,0.27572428
266,0.81716198,0.29970030
267,0.88092424,0.29970030
268,0.83527676,0.28371628
269,0.84393368,0.28371628
270,0.83527676,0.30769231
271,0.85506939,0.30769231
272,0.86574769,0.28571429
273,0.83380821,0.28371628
274,0.85232866,0.28971029
275,0.88931950,0.27172827
276,0.80769604,0.29170829
277,0.86574769,0.28171828
278,0.83673792,0.29970030
279,0.88576241,0.28571429
280,0.85370261,0.27972028
281,0.85506939,0.27772228
282,0.85094754,0.28771229
283,0.87346091,0.30169830
284,0.86443765,0.29970030
285,0.86834671,0.28771229
286,0.86312057,0.30569431
287,0.87722362,0.30969031
288,0.87219280,0.29370629
289,0.85642903,0.28971029
290,0.84535094,0.30969031
291,0.88931950,0.30369630
292,0.87846404,0.29570430
293,0.86312057,0.29570430
294,0.88335699,0.30569431
295,0.86443765,0.30969031
296,0.89396755,0.27772228
297,0.85094754,0.29570430
298,0.85506939,0.31368631
299,0.90294167,0.31168831
300,0.86834671,0.33166833
301,0.89511272,0.31968032
302,0.89962642,0.31168831
303,0.87346091,0.31368631
304,0.90511866,0.31368631
305,0.89396755,0.30769231
306,0.86834671,0.31568432
307,0.91044567,0.31768232
308,0.87969758,0.32967033
309,0.90073815,0.32167832
310,0.89396755,0.32767233
311,0.89511272,0.32567433
312,0.90073815,0.32767233
313,0.90833461,0.32167832
314,0.87219280,0.34365634
315,0.93375540,0.32367632
316,0.88814059,0.32567433
317,0.91356311,0.31768232
318,0.89850802,0.31568432
319,0.89962642,0.33966034
320,0.92256414,0.31368631
321,0.89625118,0.30369630
322,0.86574769,0.32167832
323,0.93104364,0.31968032
324,0.88814059,0.33166833
325,0.93012702,0.31968032
326,0.89962642,0.33166833
327,0.91458920,0.34165834
328,0.91962208,0.31368631
329,0.89850802,0.32767233
330,0.90184323,0.33966034
331,0.93900817,0.35164835
332,0.91044567,0.34365634
333,0.92639679,0.31568432
334,0.89281565,0.33166833
335,0.92827467,0.35164835
336,0.94403475,0.33366633
337,0.90939342,0.33766234
338,0.91962208,0.35164835
339,0.94070875,0.35964036
340,0.93012702,0.34965035
341,0.90939342,0.34965035
342,0.93986160,0.35364635
343,0.92158990,0.37362637
344,0.95115411,0.35564436
345,0.92060922,0.35164835
346,0.91458920,0.36963037
347,0.94961542,0.37562438
348,0.94883680,0.34165834
349,0.91962208,0.34565435
350,0.93814847,0.34565435
351,0.93464664,0.35564436
352,0.94883680,0.34365634
353,0.94238426,0.34565435
354,0.91762839,0.37762238
355,0.96892900,0.36163836
356,0.93285782,0.36163836
357,0.93986160,0.37362637
358,0.95115411,0.36563437
359,0.93285782,0.37962038
360,0.95489295,0.36763237
361,0.93728247,0.36563437
362,0.93104364,0.38561439
363,0.96646159,0.36563437
364,0.94321263,0.36563437
365,0.94321263,0.35964036
366,0.94070875,0.37162837
367,0.96191096,0.37762238
368,0.94805198,0.36563437
369,0.95115411,0.37162837
370,0.93553156,0.38961039
371,0.97012658,0.37562438
372,0.94403475,0.37162837
373,0.95634546,0.38561439
374,0.95986964,0.39360639
375,0.95986964,0.38161838
376,0.95562227,0.37762238
377,0.95847830,0.36763237
378,0.93375540,0.37962038
379,0.96582966,0.39560440
380,0.95634546,0.39160839
381,0.96582966,0.39760240
382,0.95562227,0.39160839
383,0.96708749,0.38161838
384,0.95986964,0.37562438
385,0.95917702,0.38161838
386,0.94961542,0.37762238
387,0.96646159,0.37362637
388,0.94321263,0.39360639
389,0.96646159,0.38761239
390,0.97412919,0.39160839
391,0.96582966,0.39560440
392,0.97412919,0.37762238
393,0.96770735,0.38561439
394,0.94646374,0.41758242
395,0.98078735,0.40759241
396,0.96953080,0.41558442
397,0.96191096,0.41758242
398,0.98263445,0.38961039
399,0.96519168,0.39360639
400,0.97680893,0.39760240
401,0.97884560,0.39760240
402,0.96389758,0.40959041
403,0.98522814,0.39960040
404,0.96832119,0.40559441
405,0.97680893,0.41158841
406,0.97628490,0.39560440
407,0.97187792,0.40759241
408,0.97301552,0.40559441
409,0.97680893,0.40559441
410,0.96519168,0.43356643
411,0.98908095,0.42157842
412,0.97680893,0.42557443
413,0.97783914,0.43556444
414,0.98644556,0.42757243
415,0.97834534,0.43156843
416,0.98308146,0.40559441
417,0.97680893,0.40959041
418,0.96519168,0.43956044
419,0.99264372,0.43556444
420,0.98395780,0.43556444
421,0.97412919,0.44355644
422,0.99321575,0.42757243
423,0.98218153,0.42157842
424,0.98604563,0.39960040
425,0.97628490,0.41158841
426,0.97071636,0.45354645
427,0.99403021,0.43556444
428,0.98218153,0.43756244
429,0.98604563,0.43756244
430,0.99045818,0.43156843
431,0.99012263,0.42157842
432,0.98522814,0.41758242
433,0.98352257,0.42757243
434,0.97933993,0.47352647
435,0.99749255,0.44755245
436,0.98644556,0.44155844
437,0.98908095,0.43356643
438,0.99234897,0.43956044
439,0.98798665,0.43956044
440,0.99078788,0.42357642
441,0.98872203,0.42957043
442,0.98761017,0.46153846
443,0.99840914,0.42157842
444,0.98352257,0.43556444
445,0.98644556,0.46353646
446,0.99695625,0.45754246
447,0.99636790,0.43756244
448,0.98683963,0.44155844
449,0.99403021,0.45554446
450,0.98481057,0.48951049
451,0.99983801,0.44955045
452,0.98078735,0.45154845
453,0.99616021,0.45754246
454,0.99594673,0.45554446
455,0.99797684,0.45954046
456,0.99204841,0.45354645
457,0.99550238,0.45754246
458,0.99234897,0.47152847
459,0.99827081,0.45954046
460,0.99142980,0.45554446
461,0.99376454,0.46753247
462,0.99695625,0.46753247
463,0.99854170,0.45954046
