time_step,entropy,complexity
0,0.00620132,0.00099950
1,0.01622662,0.00099950
2,0.01622662,0.00199900
3,0.02945149,0.00199900
4,0.02080511,0.00299850
5,0.04154135,0.00299850
6,0.02520107,0.00399800
7,0.05289297,0.00299850
8,0.03358083,0.00399800
9,0.05289297,0.00499750
10,0.04917729,0.00599700
11,0.06014743,0.00599700
12,0.05289297,0.00699650
13,0.07742810,0.00699650
14,0.05654814,0.00799600
15,0.08731624,0.00699650
16,0.06369482,0.00699650
17,0.07742810,0.00799600
18,0.08076000,0.00999500
19,0.09373975,0.00899550
20,0.08405548,0.00899550
21,0.09054385,0.01099450
22,0.09054385,0.01399300
23,0.10623075,0.01199400
24,0.10004149,0.01099450
25,0.10314966,0.01199400
26,0.10004149,0.01499250
27,0.12126130,0.01599200
28,0.11231545,0.01399300
29,0.12419789,0.01499250
30,0.11532079,0.01699150
31,0.13856883,0.01399300
32,0.10004149,0.01499250
33,0.13856883,0.01699150
34,0.10928571,0.01999000
35,0.15790637,0.01799100
36,0.11830249,0.01799100
37,0.15246714,0.01799100
38,0.13573438,0.02098951
39,0.15519495,0.02098951
40,0.16060175,0.01699150
41,0.14418162,0.01899050
42,0.15519495,0.02098951
43,0.16594570,0.01999000
44,0.13573438,0.02298851
45,0.18162450,0.02198901
46,0.14696086,0.02298851
47,0.17122930,0.02198901
48,0.15246714,0.02298851
49,0.17645485,0.02098951
50,0.14972257,0.02698651
51,0.19180384,0.02998501
52,0.17384919,0.02598701
53,0.19431667,0.02698651
54,0.16594570,0.02898551
55,0.20669879,0.02898551
56,0.18674022,0.02798601
57,0.19431667,0.02798601
58,0.18418898,0.03298351
59,0.21639693,0.03098451
60,0.19681710,0.02998501
61,0.21879402,0.03098451
62,0.19180384,0.03598201
63,0.23759818,0.03198401
64,0.20424600,0.02798601
65,0.18418898,0.02898551
66,0.20669879,0.03298351
67,0.21639693,0.03298351
68,0.21639693,0.03298351
69,0.21157013,0.03498251
70,0.23528263,0.03798101
71,0.23759818,0.03098451
72,0.22592183,0.02798601
73,0.21398902,0.03698151
74,0.24903391,0.03798101
75,0.23759818,0.03998001
76,0.23759818,0.04297851
77,0.25801867,0.04197901
78,0.24220053,0.04397801
79,0.25578572,0.04197901
80,0.26024295,0.03498251
81,0.23990410,0.03898051
82,0.24448756,0.04397801
83,0.27341184,0.04697651
84,0.24448756,0.04697651
85,0.28841030,0.04197901
86,0.23759818,0.04597701
87,0.26024295,0.04097951
88,0.26686475,0.03598201
89,0.25578572,0.03998001
90,0.25578572,0.05097451
91,0.31327692,0.04497751
92,0.23990410,0.04297851
93,0.28841030,0.04397801
94,0.26466591,0.04797601
95,0.30304010,0.04797601
96,0.27341184,0.04697651
97,0.27988648,0.04697651
98,0.28416371,0.05797101
99,0.30715558,0.05697151
100,0.29262682,0.05397301
101,0.29472397,0.05697151
102,0.29262682,0.05697151
103,0.32533847,0.04697651
104,0.27557799,0.04497751
105,0.26686475,0.04797601
106,0.29052228,0.05397301
107,0.30715558,0.05297351
108,0.30920288,0.05397301
109,0.31530376,0.05497251
110,0.30920288,0.05897051
111,0.32930690,0.05697151
112,0.31732390,0.05097451
113,0.30510134,0.05597201
114,0.32732588,0.06096952
115,0.35259778,0.05697151
116,0.31327692,0.05497251
117,0.32930690,0.05897051
118,0.33324995,0.06596702
119,0.33911781,0.06396802
